,Title,genre,listing_price,currently_available,rating,book_cover,book_url
0,A Light in the ...,Poetry,£51.77,"

    
        In stock
    
",3,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,a-light-in-the-attic_1000/index.html
1,Tipping the Velvet,Historical Fiction,£53.74,"

    
        In stock
    
",1,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,tipping-the-velvet_999/index.html
2,Soumission,Fiction,£50.10,"

    
        In stock
    
",1,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,soumission_998/index.html
3,Sharp Objects,Mystery,£47.82,"

    
        In stock
    
",4,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,sharp-objects_997/index.html
4,Sapiens: A Brief History ...,History,£54.23,"

    
        In stock
    
",5,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,sapiens-a-brief-history-of-humankind_996/index.html
5,The Requiem Red,Young Adult,£22.65,"

    
        In stock
    
",1,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,the-requiem-red_995/index.html
6,The Dirty Little Secrets ...,Business,£33.34,"

    
        In stock
    
",4,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
7,The Coming Woman: A ...,Default,£17.93,"

    
        In stock
    
",3,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
8,The Boys in the ...,Default,£22.60,"

    
        In stock
    
",4,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
9,The Black Maria,Poetry,£52.15,"

    
        In stock
    
",1,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,the-black-maria_991/index.html
10,Starving Hearts (Triangular Trade ...,Default,£13.99,"

    
        In stock
    
",2,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,starving-hearts-triangular-trade-trilogy-1_990/index.html
11,Shakespeare's Sonnets,Poetry,£20.66,"

    
        In stock
    
",4,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,shakespeares-sonnets_989/index.html
12,Set Me Free,Young Adult,£17.46,"

    
        In stock
    
",5,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,set-me-free_988/index.html
13,Scott Pilgrim's Precious Little ...,Sequential Art,£52.29,"

    
        In stock
    
",5,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
14,Rip it Up and ...,Music,£35.02,"

    
        In stock
    
",5,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,rip-it-up-and-start-again_986/index.html
15,Our Band Could Be ...,Music,£57.25,"

    
        In stock
    
",3,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
16,Olio,Poetry,£23.88,"

    
        In stock
    
",1,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,olio_984/index.html
17,Mesaerion: The Best Science ...,Science Fiction,£37.59,"

    
        In stock
    
",1,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
18,Libertarianism for Beginners,Politics,£51.33,"

    
        In stock
    
",2,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,libertarianism-for-beginners_982/index.html
19,It's Only the Himalayas,Travel,£45.17,"

    
        In stock
    
",2,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,its-only-the-himalayas_981/index.html
20,In Her Wake,Thriller,£12.84,"

    
        In stock
    
",1,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,in-her-wake_980/index.html
21,How Music Works,Music,£37.32,"

    
        In stock
    
",2,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,how-music-works_979/index.html
22,Foolproof Preserving: A Guide ...,Food and Drink,£30.52,"

    
        In stock
    
",3,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
23,Chase Me (Paris Nights ...,Romance,£25.27,"

    
        In stock
    
",5,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,chase-me-paris-nights-2_977/index.html
24,Black Dust,Romance,£34.53,"

    
        In stock
    
",5,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,black-dust_976/index.html
25,Birdsong: A Story in ...,Childrens,£54.64,"

    
        In stock
    
",3,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,birdsong-a-story-in-pictures_975/index.html
26,America's Cradle of Quarterbacks: ...,Default,£22.50,"

    
        In stock
    
",3,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
27,Aladdin and His Wonderful ...,Default,£53.13,"

    
        In stock
    
",3,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,aladdin-and-his-wonderful-lamp_973/index.html
28,Worlds Elsewhere: Journeys Around ...,Nonfiction,£40.30,"

    
        In stock
    
",5,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
29,Wall and Piece,Art,£44.18,"

    
        In stock
    
",4,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,wall-and-piece_971/index.html
30,The Four Agreements: A ...,Spirituality,£17.66,"

    
        In stock
    
",5,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
31,The Five Love Languages: ...,Nonfiction,£31.05,"

    
        In stock
    
",3,../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
32,The Elephant Tree,Thriller,£23.82,"

    
        In stock
    
",5,../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,the-elephant-tree_968/index.html
33,The Bear and the ...,Childrens,£36.89,"

    
        In stock
    
",1,../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,the-bear-and-the-piano_967/index.html
34,Sophie's World,Philosophy,£15.94,"

    
        In stock
    
",5,../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,sophies-world_966/index.html
35,Penny Maybe,Default,£33.29,"

    
        In stock
    
",3,../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,penny-maybe_965/index.html
36,Maude (1883-1993):She Grew Up ...,Default,£18.02,"

    
        In stock
    
",2,../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,maude-1883-1993she-grew-up-with-the-country_964/index.html
37,"In a Dark, Dark ...",Mystery,£19.63,"

    
        In stock
    
",1,../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,in-a-dark-dark-wood_963/index.html
38,Behind Closed Doors,Thriller,£52.22,"

    
        In stock
    
",4,../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,behind-closed-doors_962/index.html
39,You can't bury them ...,Poetry,£33.63,"

    
        In stock
    
",2,../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,you-cant-bury-them-all-poems_961/index.html
40,Slow States of Collapse: ...,Poetry,£57.31,"

    
        In stock
    
",3,../media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,slow-states-of-collapse-poems_960/index.html
41,Reasons to Stay Alive,Nonfiction,£26.41,"

    
        In stock
    
",2,../media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,reasons-to-stay-alive_959/index.html
42,Private Paris (Private #10),Fiction,£47.61,"

    
        In stock
    
",5,../media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,private-paris-private-10_958/index.html
43,#HigherSelfie: Wake Up Your ...,Nonfiction,£23.11,"

    
        In stock
    
",5,../media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
44,Without Borders (Wanderlove #1),New Adult,£45.07,"

    
        In stock
    
",2,../media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,without-borders-wanderlove-1_956/index.html
45,When We Collided,Contemporary,£31.77,"

    
        In stock
    
",1,../media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,when-we-collided_955/index.html
46,"We Love You, Charlie ...",Fiction,£50.27,"

    
        In stock
    
",5,../media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,we-love-you-charlie-freeman_954/index.html
47,Untitled Collection: Sabbath Poems ...,Poetry,£14.27,"

    
        In stock
    
",4,../media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,untitled-collection-sabbath-poems-2014_953/index.html
48,Unseen City: The Majesty ...,Nonfiction,£44.18,"

    
        In stock
    
",4,../media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
49,Unicorn Tracks,Fantasy,£18.78,"

    
        In stock
    
",3,../media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,unicorn-tracks_951/index.html
50,Unbound: How Eight Technologies ...,History,£25.52,"

    
        In stock
    
",1,../media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
51,Tsubasa: WoRLD CHRoNiCLE 2 ...,Sequential Art,£16.28,"

    
        In stock
    
",1,../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
52,Throwing Rocks at the ...,Nonfiction,£31.12,"

    
        In stock
    
",3,../media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
53,This One Summer,Sequential Art,£19.49,"

    
        In stock
    
",4,../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,this-one-summer_947/index.html
54,Thirst,Fiction,£17.27,"

    
        In stock
    
",5,../media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,thirst_946/index.html
55,The Torch Is Passed: ...,Add a comment,£19.09,"

    
        In stock
    
",1,../media/cache/33/e5/33e507172541628acfd421503196b578.jpg,the-torch-is-passed-a-harding-family-story_945/index.html
56,The Secret of Dreadwillow ...,Childrens,£56.13,"

    
        In stock
    
",1,../media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,the-secret-of-dreadwillow-carse_944/index.html
57,The Pioneer Woman Cooks: ...,Food and Drink,£56.41,"

    
        In stock
    
",1,../media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
58,The Past Never Ends,Mystery,£56.50,"

    
        In stock
    
",4,../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,the-past-never-ends_942/index.html
59,The Natural History of ...,Young Adult,£45.22,"

    
        In stock
    
",3,../media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
60,The Nameless City (The ...,Sequential Art,£38.16,"

    
        In stock
    
",4,../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,the-nameless-city-the-nameless-city-1_940/index.html
61,The Murder That Never ...,Fiction,£54.11,"

    
        In stock
    
",3,../media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,the-murder-that-never-was-forensic-instincts-5_939/index.html
62,The Most Perfect Thing: ...,Science,£42.96,"

    
        In stock
    
",4,../media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
63,The Mindfulness and Acceptance ...,Add a comment,£23.89,"

    
        In stock
    
",4,../media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
64,The Life-Changing Magic of ...,Nonfiction,£16.77,"

    
        In stock
    
",3,../media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
65,The Inefficiency Assassin: Time ...,Default,£20.59,"

    
        In stock
    
",5,../media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
66,The Gutsy Girl: Escapades ...,Nonfiction,£37.13,"

    
        In stock
    
",1,../media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
67,The Electric Pencil: Drawings ...,Nonfiction,£56.06,"

    
        In stock
    
",1,../media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
68,The Death of Humanity: ...,Philosophy,£58.11,"

    
        In stock
    
",4,../media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,the-death-of-humanity-and-the-case-for-life_932/index.html
69,The Bulletproof Diet: Lose ...,Health,£49.05,"

    
        In stock
    
",3,../media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
